image 1:  2.073181s
image 2:  1.261433s
image 3:  1.387421s
image 4:  2.062766s
image 5:  1.205268s
image 6:  1.295453s
image 7:  1.569591s
image 8:  2.185975s
image 9:  1.344886s
image 10:  1.160376s
image 11:  2.513949s
image 12:  2.187587s
image 13:  1.560339s
image 14:  2.233371s
image 15:  2.260291s
image 16:  3.222655s
image 17:  2.006504s
image 18:  1.568908s
image 19:  1.878789s
image 20:  1.253638s
image 21:  2.832412s
image 22:  1.245717s
image 23:  1.561705s
image 24:  1.467548s
image 25:  1.366431s
image 26:  1.555552s
image 27:  1.248961s
image 28:  0.939073s
image 29:  1.568200s
image 30:  1.560992s
image 31:  1.251625s
image 32:  3.137037s
image 33:  1.578883s
image 34:  1.591437s
image 35:  1.530595s
image 36:  1.693432s
image 37:  1.129913s
image 38:  1.255776s
image 39:  2.189837s
image 40:  1.255947s
image 41:  1.296274s
image 42:  1.826671s
image 43:  1.316697s
image 44:  1.817809s
image 45:  1.259141s
image 46:  1.249034s
image 47:  1.564628s
image 48:  1.563764s
image 49:  1.570125s
image 50:  1.568449s
image 51:  1.263781s
image 52:  1.556598s
image 53:  1.173040s
image 54:  1.014103s
image 55:  1.577535s
image 56:  0.934303s
image 57:  1.575614s
image 58:  1.254857s
image 59:  1.236864s
image 60:  1.897487s
image 61:  1.552783s
image 62:  1.880112s
image 63:  1.570135s
image 64:  1.249387s
image 65:  1.251665s
image 66:  0.949588s
image 67:  2.190933s
image 68:  1.481495s
image 69:  1.645418s
image 70:  0.938189s
image 71:  1.262255s
image 72:  1.556456s
image 73:  1.574769s
image 74:  1.248961s
image 75:  1.261755s
image 76:  1.565298s
image 77:  1.554558s
image 78:  1.152317s
image 79:  1.039920s
image 80:  1.256886s
image 81:  1.259268s
image 82:  1.137785s
image 83:  1.364874s
image 84:  1.253651s
image 85:  1.257747s
image 86:  1.252881s
image 87:  0.938741s
image 88:  1.559750s
image 89:  1.572999s
image 90:  1.256824s
image 91:  1.246723s
image 92:  1.258059s
image 93:  1.249420s
image 94:  1.248086s
image 95:  1.250098s
image 96:  1.257804s
image 97:  1.257434s
image 98:  1.880900s
image 99:  1.258074s
image 100:  1.245551s
image 101:  1.260860s
image 102:  1.018535s
image 103:  1.168613s
image 104:  1.254361s
image 105:  1.251779s
image 106:  2.200900s
image 107:  1.966830s
image 108:  1.476563s
image 109:  0.942036s
image 110:  1.247053s
image 111:  1.254567s
image 112:  1.035769s
image 113:  1.158660s
image 114:  0.935141s
image 115:  1.255125s
image 116:  1.255840s
image 117:  1.564655s
image 118:  1.880006s
image 119:  1.572674s
image 120:  1.252420s
image 121:  1.247360s
image 122:  1.565464s
image 123:  1.264087s
image 124:  1.247909s
image 125:  1.576781s
image 126:  1.242780s
image 127:  1.564713s
image 128:  1.259149s
image 129:  1.243989s
image 130:  1.573699s
image 131:  1.564343s
image 132:  1.248381s
image 133:  1.264781s
image 134:  1.561641s
image 135:  0.937560s
image 136:  1.566692s
image 137:  1.252410s
image 138:  1.876311s
image 139:  1.257355s
image 140:  0.942434s
image 141:  1.766612s
image 142:  1.987892s
image 143:  1.256581s
image 144:  1.573520s
image 145:  1.241608s
image 146:  1.254167s
image 147:  1.666945s
image 148:  1.162957s
image 149:  1.562722s
image 150:  1.878671s
image 151:  1.248974s
image 152:  1.259564s
image 153:  1.241906s
image 154:  0.953446s
image 155:  1.248294s
image 156:  1.177622s
image 157:  1.014101s
image 158:  0.941120s
image 159:  1.566328s
image 160:  0.939766s
image 161:  1.562479s
image 162:  1.662242s
image 163:  1.475138s
image 164:  0.937158s
image 165:  0.932489s
image 166:  1.892978s
image 167:  1.561659s
image 168:  1.841123s
image 169:  1.609651s
image 170:  1.563503s
image 171:  1.214121s
image 172:  1.596656s
image 173:  2.520943s
image 174:  1.249619s
image 175:  1.576230s
image 176:  1.241962s
image 177:  1.873940s
image 178:  1.255867s
image 179:  1.566879s
image 180:  1.286827s
image 181:  1.543812s
image 182:  1.247010s
image 183:  1.263571s
image 184:  2.175700s
image 185:  2.200002s
image 186:  1.255283s
image 187:  2.198979s
image 188:  1.244918s
image 189:  2.203315s
image 190:  1.245242s
image 191:  0.938008s
image 192:  1.253657s
image 193:  1.590052s
image 194:  1.852073s
image 195:  1.875315s
image 196:  1.257326s
image 197:  1.256865s
image 198:  1.338342s
image 199:  1.480020s
